"group","year","size","mean_grade","date","map","action"
"Girtab",1617,6,4.67,"16/11/2016 10:21:31",1,1
"Girtab",1617,6,4.67,"16/11/2016 10:22:59",1,1
"Girtab",1617,6,4.67,"16/11/2016 10:24:39",1,1
"Girtab",1617,6,4.67,"16/11/2016 10:25:40",1,1
"Girtab",1617,6,4.67,"16/11/2016 10:26:16",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:31:57",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:33:02",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:34:17",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:35:40",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:38:29",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:39:10",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:40:00",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:41:31",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:42:35",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:43:10",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:44:14",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:44:14",1,2
"Girtab",1617,6,4.67,"16/11/2016 16:49:17",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:49:18",1,2
"Girtab",1617,6,4.67,"16/11/2016 16:54:54",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:54:54",1,2
"Girtab",1617,6,4.67,"16/11/2016 16:57:45",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:57:46",1,2
"Girtab",1617,6,4.67,"16/11/2016 16:58:45",1,1
"Girtab",1617,6,4.67,"16/11/2016 16:58:46",1,2
"Girtab",1617,6,4.67,"16/11/2016 16:58:54",1,3
"Girtab",1617,6,4.67,"16/11/2016 17:06:25",1,1
"Girtab",1617,6,4.67,"16/11/2016 17:06:26",1,2
"Girtab",1617,6,4.67,"16/11/2016 17:07:02",1,3
"Girtab",1617,6,4.67,"16/11/2016 17:11:00",1,1
"Girtab",1617,6,4.67,"16/11/2016 17:11:04",1,2
"Girtab",1617,6,4.67,"16/11/2016 17:11:47",1,4
"Girtab",1617,6,4.67,"16/11/2016 17:11:56",1,5
"Girtab",1617,6,4.67,"16/11/2016 17:11:57",1,3
"Girtab",1617,6,4.67,"16/11/2016 17:15:01",1,1
"Girtab",1617,6,4.67,"16/11/2016 17:15:04",1,2
"Girtab",1617,6,4.67,"16/11/2016 17:15:25",1,4
"Girtab",1617,6,4.67,"16/11/2016 17:24:55",3,1
"Girtab",1617,6,4.67,"16/11/2016 17:24:57",3,2
"Girtab",1617,6,4.67,"16/11/2016 17:26:15",3,1
