Grupo;DAG;Q1;Q2;Q3;Q4;ST;DAG_1;DAG_2;DAG_3;DAG_4;DAG_5;DAG_6;DAG_7;DAG_8;DAG_9;ST_1;ST_2;ST_3;ST_4;ST_5;ST_6;ST_7;ST_8;ST_9
DBA1920P2GK;1.07344;0.810812;1.18787;1.2577;1.07344;5.88892e+21;1.061;1.4801;1.64465;1.23958;1.23902;1.06314;1.04434;1.04161;1.02199;2;6;288;4608;6.8923e+08;2.39e+14;2.62899e+14;6.57249e+14;1.40656e+16
DBA1920P2GL;0.977288;1.09563;1.01606;0.993406;0.977288;3.87991e+11;0.939163;1.1443;1.16312;0.709606;0.781258;1.05185;1.12346;1.11655;-1;1;6;54;1512;1512;1512;1512;4.5527e+07;-1
DBA1920P2GM;0.70337;1.27466;1.13013;0.957866;0.70337;2.91425e+11;0.978858;1.26904;1.52451;1.48369;1.3408;0.713809;0.734811;0.734811;0.821095;1;3;3;3;9;96768;1.12896e+06;1.12896e+06;4.51584e+06
DBA1920P2GN;0.92913;1.27466;0.897192;0.92913;0.92913;5.57384e+07;0;1.11853;0.920251;0.868128;0.932354;0.927435;0.927435;0.910536;0.92913;1;6;540;3456;9216;62208;124416;1.59252e+07;5.57384e+07
DBA2021P2GA;1.27111;1.18328;1.27111;0.786114;1.27111;2.1728e+09;0.492153;0.834138;0.939796;0.939796;1.29095;1.03694;1.03694;1.26856;1.26856;1;125;500;1000;20000;5.432e+06;5.432e+06;9.2344e+07;9.2344e+07
DBA2021P2GB;0.67302;0.67302;0.67302;1.22245;0.67302;8.43211e+09;0;0.708463;0.868831;0.868831;0.911665;0.706673;0.706673;-1;-1;1;68;2924;32164;257312;2.90763e+07;1.45381e+08;-1;-1
DBA2021P2GC;1.16644;0.657887;1.16644;1.16644;1.16644;3.18877e+15;0.780936;0.994315;1.24302;1.26017;1.26017;1.09575;1.1296;1.17153;1.16644;1;30;420;139968;279936;1.53436e+09;4.76433e+11;9.37874e+13;3.18877e+15
DBA2021P2GD;1.13157;1.22776;1.13157;0.602984;1.13157;1.99529e+12;0;0.752146;0.870735;0.898453;0.953924;0.894517;0.937791;1.02824;-1;1;168;3828;22968;114840;3.10068e+06;2.48054e+07;9.06949e+10;-1
DBA2021P2GE;0.705041;0.715197;0.705041;0.705041;0.705041;7.33656e+10;0.372678;0.526134;1.09421;0.859524;0.859524;0.637451;0.803638;0.668915;0.700519;1;20;60;4212;8424;1.01088e+06;1.01088e+06;1.01897e+09;6.1138e+09
DBA2021P2GF;0.743099;0.743099;0.743099;0.750459;0.743099;6.72123e+07;0.464029;0.924048;1.19133;1.19133;0.68054;0.624363;0.672244;-1;-1;1;12;360;720;143616;1.68031e+07;6.72123e+07;-1;-1
DBA2021P2GG;0.915159;0.922541;0.915159;0.915159;0.915159;1.71545e+13;0.649221;0.752834;0.937054;1.16087;1.00468;1.03345;1.04578;1.10807;-1;1;47;564;3948;21996;3.34339e+06;3.34339e+06;3.34339e+06;-1
DBA2021P2GH;1.08959;1.12965;1.08959;0.846812;1.08959;80640;0.614;1.03236;1.03236;1.194;1.24714;1.31271;1.31271;-1;-1;1;90;90;180;720;1440;1440;-1;-1
DBA2021P2GI;1.2446;1.28707;1.2446;1.30241;1.2446;1.5262e+15;0.633207;0.813426;0.813426;0.813426;0.813426;0.81225;1.35682;1.23758;1.42404;1;137;274;548;2192;313600;7.93408e+06;8.07834e+08;4.72871e+10
DBA2021P2GJ;1.15178;1.47393;1.15178;0.733562;1.15178;4.22413e+16;0.387298;0.625161;0.890616;0.883077;0.91048;0.988461;0.955012;1.1231;1.1231;1;160;23660;8.64864e+06;1.64324e+08;3.09814e+09;7.27158e+11;7.04022e+14;3.52011e+15
DBA2021P2GK;1.31332;1.05819;1.31332;0.564427;1.31332;5.18196e+10;0.372678;0.342286;0.339463;1.28961;1.42605;1.37189;1.28247;1.28247;-1;1;2;4;2448;66096;2.44702e+08;5.11377e+08;1.53413e+09;-1
DBA2021P2GL;1.42648;0.945898;1.42648;0.735884;1.42648;1.08726e+12;0.815719;0.667109;0.667109;0.667109;0.667109;1.25541;1.24288;1.39092;-1;1;170;170;2890;2890;520200;8.092e+06;4.36968e+07;-1
DBA2021P2GM;0.945665;0.701268;0.945665;0.668613;0.945665;4.26888e+08;0.387298;0.532648;0.873556;1.10672;1.1593;1.08389;1.04162;1.08897;-1;1;20;120;360;1920;277200;1.9404e+06;7.7616e+06;-1
DBA2122P2GA;1.14896;1.24219;1.19547;1.35071;1.14896;3.40564e+14;0.638877;1.07919;1.06289;1.35693;1.44529;1.63046;1.36533;1.20813;1.15213;1;53;106;848;3392;3392;1.0176e+06;4.57187e+08;9.6438e+09
DBA2122P2GB;0.945584;1.06937;0.940777;1.37657;0.945584;1.51133e+11;0.433013;0.944354;0.871171;0.919754;0.919754;1.06289;0.949346;0.940777;-1;1;124;372;11904;11904;120032;5.83356e+08;8.85546e+08;-1
DBA2122P2GC;0.999093;1.16421;1.05035;1.14674;0.999093;1.10195e+17;0.433013;0.868613;0.868613;0.971653;0.801982;0.776297;0.779131;0.99518;-1;1;20;20;2880;322560;465920;3.4944e+06;6.45618e+13;-1
DBA2122P2GD;1.1979;1.41609;1.31773;1.12365;1.1979;6.08114e+10;0.408248;0.916112;0.98295;0.98295;0.98295;0.98295;0.98295;1.01796;1.25679;1;37;74;74;74;74;74;10944;1.05877e+10
DBA2122P2GE;1.29997;1.12993;1.27592;1.62848;1.29997;2.95612e+09;0.559017;0.719599;0.932751;0.875018;0.875018;0.871912;1.06105;1.41256;1.4453;1;31;198;2376;2376;4752;4752;166320;1.59667e+07
DBA2122P2GF;1.09607;1.5699;1.27242;1.87705;1.09607;7.96594e+11;0.612372;0.714735;0.714373;0.962763;0.962763;1.17609;1.21789;1.51433;1.26244;1;104;156;1080;1080;67392;1.69344e+06;1.58054e+07;1.18541e+09
DBA2122P2GG;1.05525;1.24212;1.03641;0.724331;1.05525;3.17012e+13;0.612372;0.770229;0.7677;0.759528;0.962721;1.0674;1.22534;1.29841;-1;1;39;39;156;2808;11232;404352;4.367e+07;-1
DBA2122P2GH;1.0462;0.946641;1.05952;1.15644;1.0462;7.48941e+13;0;0.740214;1.00485;1.00485;1.12786;1.33112;1.59852;1.64058;-1;1;88;900;900;900;900;9000;216000;-1
DBA2122P2GI;0.807984;1.08031;1.04966;1.09948;0.807984;3.3863e+21;0.4;0.953713;0.933518;1.11646;1.27429;1.33012;1.51334;1.31465;0.870707;1;70;70;70;70;70;3456;1.04509e+08;3.65325e+19
DBA2122P2GJ;1.1516;1.12055;1.16471;1.1922;1.1516;3.16425e+13;0.67711;1.13251;0.763391;0.814964;1.19972;1.19723;1.16471;1.22267;1.28485;1;36;4872;12180;29232;493290;493290;1.47329e+08;4.33746e+12
DBA2122P2GK;1.10334;1.15006;1.05413;1.21783;1.10334;1.08346e+14;0.4;0.852993;0.96298;0.96298;1.31113;1.38312;1.36354;1.11613;1.10978;1;54;648;648;2592;10368;10368;1.20309e+10;2.64622e+10
DBA2122P2GL;1.02909;0.841288;1.21087;0.629895;1.02909;2.24532e+11;0.612372;0.914908;1.07132;1.26155;1.26155;1.33517;1.21428;1.23914;1.05085;1;14;1125;6750;6750;6750;94500;3.072e+06;2.4576e+07
DBA2122P2GM;1.17103;0.962684;0.86428;0.98008;1.17103;5.53386e+14;0;0.948409;0.86373;0.845917;0.845917;0.929661;1.15267;1.15597;-1;1;17;204;204;204;3.01056e+06;7.98336e+08;2.87401e+09;-1
DBA2122P2GN;1.01426;1.22984;1.18148;1.0826;1.01426;3.63332e+08;0.631906;0.717334;0.830397;0.830397;0.823029;1.41587;1.44826;1.19131;1.01263;1;132;528;1056;1056;1056;3168;12672;3.33054e+08
DBA2122P2GO;0.93362;0.95165;1.00895;0.877971;0.93362;6.6134e+16;0.4;0.651103;1.18839;1.19165;1.19165;1.32906;1.52405;1.4499;0.965105;1;26;840;14400;14400;129600;518400;1.5552e+06;1.37872e+16
DBA2122P2GP;1.02401;0.83551;0.816992;0.845869;1.02401;1.39968e+09;0.583212;0.816992;0.814069;0.975884;0.975884;1.09359;1.07348;1.13758;-1;1;40;60;720;1440;19200;38400;1.1664e+07;-1
