Group	Grade	QuartileGrade	Year	DAG	Size	p	s	ns	np	ot	st	rt	ft	sq	ps	fr	RWSP	MAN	MAN01	SIM	MDN	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	FDegree1	FDegree2	FDegree3	FDegree4	FDegree5	FDegree6	FDegree7	FDegree8	FDegree9	LAP01	LAP02	LAP03	LAP04	LAP05	LAP06	LAP07	LAP08	LAP09	LAP10	FLAP1	FLAP2	FLAP3	FLAP4	FLAP5	FLAP6	FLAP7	FLAP8	FLAP9	DAG_1	DAG_2	DAG_3	DAG_4	DAG_5	DAG_6	DAG_7	DAG_8	DAG_9
DBA 1718 P2 GH	6,46	1	Y2017	2,45609	1	8	273	0,192	0,89	0,646	0,655	0,094	0,901	0,834	0,02	0,853	0,121	10,1	2,828	0,798	1,888	4	8	14	20	22	28	34	48	56	4	10	10	14	14	20	28	40	46	1	1	4	6	6	6	6	384	384	384	1	2	2	2	2	2	4	48	288	115152	166238	162072	189445	189445	267376	271047	213252	213252
DBA 1819 P2 GB	8,23	2	Y2018	1,5132	1	8	148	0,257	0,89	0,183	0,206	0,073	0,939	0,954	0,095	0,703	0,465	8,307	2,828	0,884	1,281	6	8	10	12	14	18	20	54	66	6	6	6	6	6	6	6	36	44	1	1	1	1	1	2	2	576	576	576	1	1	1	1	1	1	1	48	160	839917	853889	836762	899772	891831	825755	977979	115343	115343
DBA 1819 P2 GC	8,91	2	Y2018	1,39329	1	8	178	0,31	0,89	0,243	0,563	0,32	0,933	0,85	0,061	0,713	0,37	6,856	2,828	0,847	1,48	18	20	22	24	46	50	58	60	64	18	18	18	18	32	36	42	42	44	2	2	2	2	480	720	2880	2880	2880	2880	2	2	2	2	32	48	72	72	108	142938	149309	151333	110702	105039	-456916	112294	112836	112836
DBA 1819 P2 GD	9,73	4	Y2018	1,4145	1	8	190	0,33	0,89	0,183	0,395	0,214	0,889	0,867	0,084	0,616	0,632	6,481	2,828	0,823	1,039	16	18	22	28	54	58	64	78	96	16	16	20	24	44	44	50	54	68	3	3	6	12	1728	2160	8640	72000	72000	72000	3	3	6	12	432	432	864	2304	8640	886033	936006	835163	916069	921313	979204	102976	121727	121727
DBA 1819 P2 GE	8,46	2	Y2018	1,07194	1	8	158	0,275	0,89	0,169	0,202	0,111	1	0,858	0,094	0,759	0,437	7,211	2,828	0,846	1,023	6	8	10	12	16	26	42	94	96	6	6	6	6	6	16	26	66	66	1	1	1	1	2	4	144	1296000	1296000	1296000	1	1	1	1	1	2	16	21600	21600	498024	426633	53099	573104	597136	728338	994523	857554	857554
DBA 1819 P2 GF	8,14	1	Y2018	1,49484	1	9	190	0,33	1	0,175	0,504	0,329	0,774	0,947	0,074	0,647	0,292	7,81	3	0,91	0,984	14	16	28	30	32	42	48	54	58	14	16	24	24	24	34	36	36	36	1	1	12	12	12	30	72	192	384	384	1	1	8	8	8	20	20	20	20	104933	115957	115485	119205	916515	961781	103221	101341	108774
DBA 1819 P2 GG	9,26	3	Y2018	1,34785	0	9	266	0,463	1	0,082	0,518	0,436	0,891	0,958	0,067	0,703	0,132	8,124	3	0,911	1,223	16	26	30	46	50	54	58	80	96	16	22	26	40	40	40	42	56	68	2	24	24	180	360	720	1440	81000	1244160	1244160	2	6	6	48	48	48	48	960	30720	-607396	105111	107598	108268	106436	113133	111485	-223160	-519372
DBA 1819 P2 GH	7,96	1	Y2018	1,39905	1	9	434	0,755	1	0,104	0,236	0,132	0,567	0,912	0,094	0,827	0,608	7,937	3	0,94	0,643	18	20	22	24	34	50	52	76	80	18	18	18	20	22	36	36	56	56	4	4	4	4	48	864	864	82944	96768	96768	4	4	4	4	4	144	144	2304	2304	643877	750549	738054	875298	796537	1196	119008	961738	973012
DBA 1819 P2 GI	7,39	1	Y2018	1,26024	1	7	242	0,421	0,78	0,123	0,584	0,482	0,95	0,821	0,036	0,851	0,285	6,928	2,646	0,761	1,246	40	44	48	66	72	84	86	92	92	40	42	42	60	60	68	68	70	70	432	576	1152	23040	55296	259200	259200	259200	259200	259200	432	432	432	6480	6480	34560	34560	51840	51840	852291	906119	908608	978269	971964	99485	990754	990754	990754
DBA 1819 P2 GJ	8,14	1	Y2018	1,21987	1	9	373	0,649	1	0,031	0,225	0,194	0,815	0,814	0,103	0,566	0,371	6,403	3	0,897	1,049	12	14	16	18	32	36	50	72	90	12	12	12	12	24	26	30	42	58	1	1	1	1	4	8	144	18432	725760	725760	1	1	1	1	2	2	2	96	5184	897594	902478	835955	812951	112633	133223	371819	127489	100079
