Group	Grade	QuartileGrade	Year	DAG	Size	p	s	ns	np	ot	st	rt	ft	sq	ps	fr	RWSP	MAN	MAN01	SIM	MDN	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	FDegree1	FDegree2	FDegree3	FDegree4	FDegree5	FDegree6	FDegree7	FDegree8	FDegree9	LAP01	LAP02	LAP03	LAP04	LAP05	LAP06	LAP07	LAP08	LAP09	LAP10	FLAP1	FLAP2	FLAP3	FLAP4	FLAP5	FLAP6	FLAP7	FLAP8	FLAP9	DAG_1	DAG_2	DAG_3	DAG_4	DAG_5	DAG_6	DAG_7	DAG_8	DAG_9
DBA 2122 P2 GD	9,54	3	Y2021	1,22335	1	9	381	0,686	1	0,368	0,407	0,038	0,942	1	0,07	0,753	0,342	10,63	3	0,953	0,717	4	8	10	12	14	16	22	40	56	4	8	8	8	8	8	16	28	34	1	1	1	1	1	1	1	64	1920	1920	1	1	1	1	1	1	1	6	12	326599	732889	78636	78636	78636	78636	78636	81437	100543
DBA 2122 P2 GE	9,67	4	Y2021	1,30615	1	9	191	0,344	1	0,653	0,684	0,03	0,953	0,965	0,09	0,675	0,33	11,358	3	0,944	1,114	4	10	14	18	20	24	28	38	42	4	10	12	14	14	20	24	34	34	1	1	2	3	3	3	3	12	24	24	1	1	1	2	2	2	2	8	8	447214	575679	746201	700015	700015	69753	848843	113005	115624
DBA 2122 P2 GF	8,98	3	Y2021	1,1056	1	9	455	0,82	1	0,341	0,369	0,029	0,631	0,996	0,094	0,804	0,513	11,136	3	0,931	0,615	4	12	20	28	32	40	46	56	74	4	12	20	26	30	40	44	54	62	1	2	8	24	24	72	144	864	34560	34560	1	4	8	16	32	96	96	576	3840	489898	571788	571499	77021	77021	940868	974312	121146	100996
DBA 2122 P2 GG	9,75	4	Y2021	1,06082	1	8	368	0,663	0,89	0,38	0,33	0,04	0,576	0,838	0,092	0,728	0,278	8	2,828	0,77	0,549	4	10	12	26	30	34	42	58	98	4	10	10	26	30	34	40	60	82	1	1	1	4	8	16	96	960	960	960	1	1	1	4	8	12	48	1920	311040	489898	616183	61416	607622	770177	853917	980274	103873	103873
DBA 2122 P2 GH	8,88	2	Y2021	1,04755	1	8	303	0,546	0,89	0,399	0,326	0,011	0,488	0,821	0,103	0,653	0,335	10,724	2,828	0,795	1,001	2	8	12	14	18	24	28	36	72	2	10	12	12	16	22	26	30	58	1	1	2	2	2	2	2	16	16	16	1	2	4	4	4	4	4	8	2304	0	592171	803877	803877	902287	106489	127882	131246	131246
DBA 2122 P2 GI	9,75	4	Y2021	0,80693	1	9	549	0,989	1	0,175	0,257	0,081	0,871	0,993	0,099	0,59	0,391	8,426	3	0,928	0,347	4	12	16	20	22	24	26	42	140	4	12	16	20	20	20	20	26	98	1	1	1	1	1	1	1	36	99532800000000	99532800000000	1	1	1	1	1	1	1	2	4082400	0.32	76297	746814	893164	101943	-459838	121067	105172	696566
DBA 2122 P2 GJ	9,76	4	Y2021	1,16025	0	9	303	0,546	1	0,361	0,544	0,183	0,967	0,951	0,084	0,713	0,353	11,747	3	0,963	1,067	4	12	20	22	28	36	40	56	78	4	12	20	20	24	28	32	40	52	1	1	2	2	8	32	32	1728	124416	124416	1	1	2	2	4	4	4	16	256	541688	906005	610713	651971	959779	957783	931766	978134	102788
DBA 2122 P2 GK	8,84	2	Y2021	1,10444	1	9	464	0,836	1	0,358	0,466	0,108	0,933	0,947	0,102	0,8	0,41	8,544	3	0,929	0,757	4	8	14	20	22	26	30	74	76	4	8	14	20	20	26	30	56	56	1	1	2	2	2	2	2	18432	18432	18432	1	1	3	3	3	3	3	432	432	0.32	682394	770384	770384	-515354	110649	109083	892906	887827
DBA 2122 P2 GL	9,77	4	Y2021	1,04097	1	9	251	0,452	1	0,402	0,445	0,043	0,853	0,996	0,09	0,737	0,382	13,191	3	0,965	0,804	4	10	20	24	30	32	36	54	58	4	10	18	22	28	30	34	44	50	1	2	12	12	12	12	24	1152	1152	1152	1	2	6	6	6	6	12	48	72	489898	731926	857056	100924	100924	106814	971425	991311	840682
DBA 2122 P2 GM	7,85	1	Y2021	1,18505	1	8	552	0,995	0,89	0,226	0,269	0,102	0,719	0,842	0,066	0,873	0,271	10,392	2,828	0,804	0,132	2	8	14	16	20	38	66	68	100	2	10	16	18	22	40	66	68	90	1	1	2	2	2	72	15552	15552	15552	15552	1	2	4	4	4	144	15552	15552	2239488	0	758727	690984	676734	676734	743729	922135	924776	924776
DBA 2122 P2 GN	7,7	1	Y2021	1,00481	1	9	187	0,337	1	0,366	0,526	0,16	0,995	0,972	0,066	0,743	0,282	11,18	3	0,932	0,526	4	20	24	28	30	40	46	50	58	4	20	24	26	26	34	38	40	50	1	4	4	8	8	24	72	144	648	648	1	4	4	4	4	6	12	12	108	505525	573867	664317	664317	658423	-209282	115861	953047	810102
DBA 2122 P2 GO	9,92	4	Y2021	0,944913	0	9	399	0,719	1	0,393	0,4	0,006	0,96	0,996	0,105	0,632	0,37	10,296	3	0,961	0,634	4	8	16	22	24	28	34	42	100	4	8	14	24	24	28	34	40	70	1	1	3	3	3	6	6	24	2985984	2985984	1	1	2	8	8	8	16	16	23040	0.32	520882	950715	95332	95332	106325	121924	115992	772084
DBA 2122 P2 GP	8,97	3	Y2021	1,03061	1	8	272	0,49	0,89	0,286	0,388	0,154	0,923	0,771	0,051	0,875	0,189	9,849	2,828	0,812	0,471	4	18	20	30	32	38	44	58	76	4	18	20	28	28	30	38	48	56	1	2	2	9	9	24	24	768	768	768	1	2	2	12	12	12	24	384	1296	466569	653594	651255	780707	780707	87487	858782	91006	91006
