Group	Grade	QuartileGrade	Year	DAG	Size	p	s	ns	np	ot	st	rt	ft	sq	ps	fr	RWSP	MAN	MAN01	SIM	MDN	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	FDegree1	FDegree2	FDegree3	FDegree4	FDegree5	FDegree6	FDegree7	FDegree8	FDegree9	LAP01	LAP02	LAP03	LAP04	LAP05	LAP06	LAP07	LAP08	LAP09	LAP10	FLAP1	FLAP2	FLAP3	FLAP4	FLAP5	FLAP6	FLAP7	FLAP8	FLAP9	DAG_1	DAG_2	DAG_3	DAG_4	DAG_5	DAG_6	DAG_7	DAG_8	DAG_9
DBA 1516 P2 GA	8,800	2	Y2015	1,931	1	8	792	1,000	0,89	0,533	0,732	0,266	0,980	0,784	0,037	0,848	0,072	10,392	2,828	0,775	2,002	4	12	14	60	62	64	68	70	78	4	14	14	64	64	64	64	64	70	1	1	1	6912	6912	6912	10368	10368	10368	10368	1	2	2	27000	27000	27000	27000	27000	64800	685944	124895	124895	191425	194358	194158	193259	192966	192966
DBA 1516 P2 GB	8,800	2	Y2015	1,326	1	8	111	0,140	0,89	0,659	0,616	0,066	0,910	0,846	0,057	0,550	0,121	11,136	2,828	0,793	1,784	4	8	14	16	18	28	32	36	46	4	8	14	14	14	24	26	30	32	1	1	2	2	2	8	16	16	16	16	1	1	2	2	2	16	16	16	16	102653	721064	772635	851165	967611	122847	120092	123964	123964
DBA 1516 P2 GC	10,000	4	Y2015	0,625	1	9	337	0,426	1,00	0,112	0,209	0,097	0,881	0,947	0,082	0,421	0,524	8,718	3,000	0,910	0,525	4	8	10	12	14	18	20	22	90	4	8	8	8	8	12	12	12	56	1	1	1	1	1	1	1	1	1105920	1105920	1	1	1	1	1	1	1	1	2048	399073	1375	152383	165703	1987652	178449	184477	189258	61355
DBA 1516 P2 GD	8,800	2	Y2015	1,483	1	8	378	0,477	0,89	0,553	0,564	0,081	0,696	0,796	0,036	0,788	0,165	8,718	2,828	0,795	1,897	4	8	12	14	16	20	28	30	50	4	8	12	12	12	16	24	24	46	1	1	1	1	1	1	4	4	4	4	1	1	1	1	1	1	4	4	216	524636	136426	136426	136426	226752	254259	244622	246039	246039
DBA 1516 P2 GE	8,800	2	Y2015	1,067	1	9	736	0,929	1,00	0,366	0,434	0,068	0,808	1,000	0,084	0,800	0,269	10,050	3,000	0,919	1,256	4	10	12	14	16	18	24	32	98	4	10	10	10	10	10	16	22	86	1	2	2	2	2	2	2	8	1474560	1474560	1	2	2	2	2	2	2	4	691200	481848	806191	806191	806191	107122	107122	107122	107122	125086
DBA 1516 P2 GF	9,200	3	Y2015	1,290	1	8	356	0,449	0,89	0,355	0,380	0,072	0,629	0,838	0,060	0,691	0,245	6,856	2,828	0,726	1,458	4	14	16	20	26	28	32	60	86	4	14	16	20	20	20	24	46	60	1	2	2	2	8	8	8	5832	5832	5832	1	2	2	3	3	3	3	384	3840	514259	131777	172702	169106	189596	189596	233122	153855	153855
DBA 1516 P2 GG	8,200	1	Y2015	1,084	1	9	462	0,583	1,00	0,179	0,282	0,103	0,905	0,996	0,042	0,853	0,286	9,220	3,000	0,925	0,590	4	8	10	12	14	16	20	28	66	4	10	10	10	10	10	14	24	50	1	1	1	1	1	1	1	4	3240	3240	1	2	2	2	2	2	2	16	1024	118111	147517	180205	201239	215595	230044	249198	-302753	998849
DBA 1516 P2 GH	9,600	4	Y2015	0,849	1	9	706	0,891	1,00	0,410	0,574	0,164	0,945	0,996	0,044	0,695	0,578	8,944	3,000	0,947	1,043	4	18	20	22	24	26	30	62	98	4	20	20	20	20	20	24	50	64	1	4	4	4	4	4	4	2880	1105920	1105920	1	6	6	6	6	6	6	480	7200	485196	106502	102525	105391	105391	105391	105391	973179	834534
DBA 1516 P2 GI	9,120	3	Y2015	0,924	0	8	611	0,771	0,89	0,333	0,507	0,242	0,887	0,908	0,071	0,746	0,086	10,198	2,828	0,854	0,732	6	20	22	30	34	50	64	72	84	6	22	22	28	30	42	50	66	74	1	6	6	48	96	864	12288	49152	49152	49152	1	12	12	16	16	60	160	7680	46080	538556	582466	576234	687542	687542	831233	962998	929291	929291
DBA 1617 P2 GA	10,000	4	Y2016	0,768	0	9	191	0,216	1,00	0,248	0,590	0,342	0,969	0,972	0,049	0,613	0,318	10,296	3,000	0,944	0,948	4	10	20	42	44	48	50	58	66	4	12	20	38	38	40	40	42	46	1	1	2	96	96	128	128	1024	4608	4608	1	2	3	32	32	32	32	40	40	782809	128531	115878	928448	902186	814905	814905	797476	775738
