Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM1-100,PROBLEM6-20,PROBLEM2-20,PROBLEM6-40,PROBLEM2-40,PROBLEM2-60,PROBLEM9-20,START,END
PROBLEM1-20,0,965,0,0,0,0,0,0,0,0,0,980
PROBLEM1-40,0,0,349,11,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,350,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,50,0,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,280,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,0,563,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,0,47
PROBLEM2-40,0,0,0,0,0,0,0,0,162,0,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,152,0,0,139
PROBLEM9-20,0,0,0,0,0,0,0,0,0,0,0,21
START,1945,0,0,0,299,663,0,0,0,240,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM1-100,PROBLEM6-20,PROBLEM2-20,PROBLEM6-40,PROBLEM2-40,PROBLEM2-60,PROBLEM9-20,START,END
PROBLEM1-20,0,679000,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,1244000,37000,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,643000,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,944000,0,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,60000,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,0,0,184000,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,0,0,898290,0,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,1635092,0,0,0
PROBLEM9-20,0,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
