Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM1-100,PROBLEM2-20,PROBLEM2-40,PROBLEM6-20,PROBLEM3-20,PROBLEM6-40,PROBLEM6-60,START,END
PROBLEM1-20,0,145,0,0,0,0,0,0,0,0,0,205
PROBLEM1-40,0,0,51,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,44,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,3,0,0,0,0,0,0,0,46
PROBLEM2-20,0,0,0,0,0,66,0,0,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,0,0,0,0,0,26
PROBLEM6-20,0,0,0,0,0,0,0,0,101,0,0,0
PROBLEM3-20,0,0,0,0,0,0,0,0,0,0,0,20
PROBLEM6-40,0,0,0,0,0,0,0,0,0,68,0,0
PROBLEM6-60,0,0,0,0,0,0,0,0,0,0,0,44
START,350,0,0,0,73,0,113,48,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM1-100,PROBLEM2-20,PROBLEM2-40,PROBLEM6-20,PROBLEM3-20,PROBLEM6-40,PROBLEM6-60,START,END
PROBLEM1-20,0,1967000,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,1260000,0,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,323000,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,1000,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,338000,0,0,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM6-20,0,0,0,0,0,0,0,0,468000,0,0,0
PROBLEM3-20,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,1407000,0,0
PROBLEM6-60,0,0,0,0,0,0,0,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
