Nodes 4
Total Frequency
,PROBLEM1,PROBLEM6,START,END
PROBLEM1,717,5,0,0
PROBLEM6,6,784,0,465
START,0,467,0,0
END,0,0,0,0

Total Duration ms
,PROBLEM1,PROBLEM6,START,END
PROBLEM1,59317000,8000,0,0
PROBLEM6,7369000,1925000,0,0
START,0,0,0,0
END,0,0,0,0
