P1 P2 P3 P4 P5 P6 P7 P8 P9 START END 
165 5 0 2 0 0 0 0 0 0 0
3 118 23 2 1 1 3 0 0 0 0
0 4 45 16 4 3 3 0 0 0 0
1 4 2 59 12 3 0 4 0 0 0
0 2 2 2 55 14 1 0 0 0 0
0 1 1 1 3 51 15 3 0 0 0
1 6 0 1 0 2 204 30 0 0 1
1 5 2 2 1 1 17 93 10 0 0
0 6 0 0 0 0 2 2 37 0 0
1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
