P1 P3 P4 P5 P6 P2 P9 P7 P8 START END 
241 2 0 3 2 12 8 3 0 0 0
1 135 14 0 0 6 0 1 1 0 0
1 2 60 10 0 1 0 1 2 0 0
4 0 2 55 10 0 0 1 0 0 0
1 1 0 3 60 0 0 8 1 0 1
1 15 0 1 1 204 4 0 1 0 0
14 1 0 0 1 3 163 5 1 0 0
6 2 1 0 1 0 2 108 9 0 0
1 0 0 0 0 1 11 2 66 0 0
1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
