P1 P2 P3 P4 P5 P6 P7 P8 P9 START END 
474 19 2 1 3 2 2 0 1 0 0
4 125 15 2 0 0 0 0 1 0 1
4 3 272 17 7 0 2 0 1 0 0
3 0 9 135 13 0 2 0 0 0 0
5 1 3 4 130 13 0 1 1 0 0
3 0 2 1 2 105 11 0 1 0 0
3 0 1 2 2 3 685 9 8 0 0
2 0 1 0 0 0 2 79 8 0 0
5 0 1 0 1 2 9 3 186 0 0
1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
