P1 P4 P2 P5 P3 P6 P7 P8 P9 START END 
501 3 18 1 7 7 4 3 2 0 0
4 208 0 10 3 3 2 1 0 0 0
3 0 215 1 14 0 1 9 0 0 0
6 2 1 196 1 16 6 2 0 0 0
7 14 1 4 278 26 1 4 3 0 0
3 1 0 11 28 386 12 1 6 0 0
7 0 0 5 2 1 274 21 9 0 0
5 1 7 1 3 3 6 326 20 0 0
9 2 1 1 2 6 13 5 475 0 1
1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
