P1 P2 P3 P4 P5 P6 P7 P8 P9 START END 
159 16 0 0 1 2 0 0 1 0 0
2 107 15 0 0 0 0 0 2 0 0
1 2 94 14 0 0 0 0 0 0 0
1 0 2 73 13 0 0 0 1 0 0
4 0 0 2 114 10 0 0 3 0 0
5 0 0 0 2 238 10 2 1 0 0
0 0 0 0 0 3 57 10 1 0 0
2 0 0 0 1 3 3 89 8 0 0
4 1 0 1 2 2 1 5 116 0 1
1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
