P1 P2 P3 P4 P5 P6 P7 P8 P9 START END 
566 15 5 5 0 3 2 3 1 0 1
7 197 16 1 4 3 0 1 2 0 0
5 3 115 15 1 2 2 0 0 0 0
9 3 4 110 12 0 0 0 0 0 0
0 1 2 0 90 16 2 1 0 0 0
4 4 0 3 4 302 10 1 2 0 0
2 1 0 2 0 1 78 10 1 0 0
4 2 0 0 0 2 0 107 10 0 0
3 5 1 2 1 1 1 2 107 0 0
1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
