P1 P2 P9 P3 P4 P8 P7 P5 P6 START END 
460 54 17 15 6 5 12 5 17 0 1
53 139 3 7 5 2 7 6 4 0 0
14 7 30 3 2 0 1 1 3 0 0
15 10 1 43 3 1 0 2 1 0 0
6 2 1 1 23 1 2 2 1 0 0
5 3 0 2 0 18 2 0 0 0 0
16 3 3 0 0 2 29 0 1 0 0
8 3 3 1 0 0 0 15 1 0 0
14 5 3 4 0 1 1 0 30 0 0
1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
