Nodes 44
Total Frequency
,PROBLEM7-20,PROBLEM7-40,PROBLEM7-60,PROBLEM1-60,PROBLEM1-80,PROBLEM1-100,PROBLEM8-20,PROBLEM8-40,PROBLEM8-60,PROBLEM8-80,PROBLEM4-60,PROBLEM5-20,PROBLEM5-40,PROBLEM5-80,PROBLEM5-100,PROBLEM3-40,PROBLEM2-60,PROBLEM2-80,PROBLEM2-100,PROBLEM5-60,PROBLEM6-80,PROBLEM6-100,PROBLEM8-100,PROBLEM1-40,PROBLEM1-20,PROBLEM2-20,PROBLEM3-20,PROBLEM2-40,PROBLEM4-20,PROBLEM4-40,PROBLEM3-60,PROBLEM3-80,PROBLEM3-100,PROBLEM4-80,PROBLEM4-100,PROBLEM6-20,PROBLEM6-40,PROBLEM6-60,PROBLEM7-80,PROBLEM7-100,PROBLEM9-20,PROBLEM9-40,START,END
PROBLEM2-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM4-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM4-40,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM3-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM3-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
PROBLEM3-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PROBLEM4-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
PROBLEM4-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
PROBLEM6-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
PROBLEM6-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
PROBLEM6-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM7-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
PROBLEM7-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
PROBLEM9-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
PROBLEM9-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
START,52,0,0,6,0,0,134,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,49,12,5,0,19,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM7-20,PROBLEM7-40,PROBLEM7-60,PROBLEM1-60,PROBLEM1-80,PROBLEM1-100,PROBLEM8-20,PROBLEM8-40,PROBLEM8-60,PROBLEM8-80,PROBLEM4-60,PROBLEM5-20,PROBLEM5-40,PROBLEM5-80,PROBLEM5-100,PROBLEM3-40,PROBLEM2-60,PROBLEM2-80,PROBLEM2-100,PROBLEM5-60,PROBLEM6-80,PROBLEM6-100,PROBLEM8-100,PROBLEM1-40,PROBLEM1-20,PROBLEM2-20,PROBLEM3-20,PROBLEM2-40,PROBLEM4-20,PROBLEM4-40,PROBLEM3-60,PROBLEM3-80,PROBLEM3-100,PROBLEM4-80,PROBLEM4-100,PROBLEM6-20,PROBLEM6-40,PROBLEM6-60,PROBLEM7-80,PROBLEM7-100,PROBLEM9-20,PROBLEM9-40,START,END
