Nodes 12
Total Frequency
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM1-100,PROBLEM2-20,PROBLEM2-40,PROBLEM2-60,PROBLEM7-20,PROBLEM7-40,PROBLEM2-80,START,END
PROBLEM1-20,0,445,0,0,0,0,0,0,0,0,0,346
PROBLEM1-40,0,0,330,63,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,258,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,0,0,0,0,0,0,0,0,279
PROBLEM2-20,0,0,0,0,0,234,0,0,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,76,0,0,129,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0,110
PROBLEM7-20,0,0,0,0,0,0,0,0,101,0,0,0
PROBLEM7-40,0,0,0,0,0,0,0,0,0,0,0,3
PROBLEM2-80,0,0,0,0,0,0,108,0,0,0,0,0
START,791,0,0,0,303,0,0,102,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0

Total Duration ms
,PROBLEM1-20,PROBLEM1-40,PROBLEM1-80,PROBLEM1-100,PROBLEM2-20,PROBLEM2-40,PROBLEM2-60,PROBLEM7-20,PROBLEM7-40,PROBLEM2-80,START,END
PROBLEM1-20,0,465000,0,0,0,0,0,0,0,0,0,0
PROBLEM1-40,0,0,1713000,483000,0,0,0,0,0,0,0,0
PROBLEM1-80,0,0,0,329000,0,0,0,0,0,0,0,0
PROBLEM1-100,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM2-20,0,0,0,0,0,138000,0,0,0,0,0,0
PROBLEM2-40,0,0,0,0,0,0,332000,0,0,1081000,0,0
PROBLEM2-60,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM7-20,0,0,0,0,0,0,0,0,66000,0,0,0
PROBLEM7-40,0,0,0,0,0,0,0,0,0,0,0,0
PROBLEM2-80,0,0,0,0,0,0,317000,0,0,0,0,0
START,0,0,0,0,0,0,0,0,0,0,0,0
END,0,0,0,0,0,0,0,0,0,0,0,0
