PROBLEM1-20 PROBLEM1-100 PROBLEM1-40 PROBLEM2-20 PROBLEM2-40 PROBLEM3-20 PROBLEM3-40 PROBLEM3-100 PROBLEM4-20 PROBLEM4-40 PROBLEM5-20 PROBLEM5-40 PROBLEM6-20 PROBLEM6-40 START END 
0 8 5 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 12 7 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
16 0 0 6 0 20 0 0 3 0 9 0 15 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
