PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM7-20 PROBLEM7-40 PROBLEM7-60 PROBLEM7-100 PROBLEM7-80 START END 
0 157 0 0 0 0 0 0 0 0 0 2
0 0 130 0 0 0 0 0 0 0 0 27
0 0 0 0 61 0 0 0 0 0 0 68
0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 9 0 0 0 0 0 0 0 59
0 0 0 0 0 0 14 0 0 0 0 0
0 0 0 0 0 0 0 23 0 0 0 2
0 0 0 0 0 0 0 0 12 0 0 0
0 0 0 0 0 0 0 0 0 9 0 9
0 0 0 0 0 0 0 0 0 0 0 3
159 0 0 0 0 14 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0
