PROBLEM1-20 PROBLEM1-100 PROBLEM1-40 PROBLEM2-20 PROBLEM2-100 PROBLEM2-40 PROBLEM3-20 PROBLEM3-100 PROBLEM5-20 PROBLEM5-100 PROBLEM7-20 PROBLEM7-40 START END 
0 59 36 0 0 0 0 0 0 0 0 0 0 32
0 0 5 0 0 0 0 0 0 0 0 0 0 40
0 0 0 0 0 0 0 0 0 0 0 0 0 34
0 0 0 0 4 10 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 2 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 2 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 2 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 2
106 0 0 15 0 0 2 0 3 0 5 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
