PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 START END 
0 209 0 0 0 0 0 0 0 0 82
0 0 98 23 0 0 0 0 0 0 106
0 0 0 20 18 0 0 0 0 0 62
0 0 0 0 25 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 41
0 0 0 0 0 0 10 0 0 0 1
0 0 0 0 0 0 0 10 0 0 0
0 0 0 0 0 0 0 0 10 0 0
0 0 0 0 0 0 0 0 0 0 9
291 0 0 0 0 11 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
