PROBLEM4-20 PROBLEM4-60 PROBLEM1-20 PROBLEM1-60 PROBLEM1-100 PROBLEM6-20 PROBLEM6-60 PROBLEM2-20 PROBLEM2-60 PROBLEM7-20 PROBLEM7-60 PROBLEM9-20 PROBLEM9-60 START END 
0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 24 0 0 0 0 0 0 0 0 0 0 17
0 0 0 0 2 0 0 0 0 0 0 0 0 0 22
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 7 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
4 0 41 0 0 4 0 7 0 2 0 3 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
