PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM2-20 PROBLEM1-80 PROBLEM1-100 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 START END 
0 59 0 0 0 0 0 0 0 0 106
0 0 31 0 17 0 0 0 0 0 11
0 0 0 0 22 0 0 0 0 0 11
0 0 0 0 0 0 28 0 0 0 83
0 0 0 0 0 38 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 36
0 0 0 0 0 0 0 26 0 0 1
0 0 0 0 0 0 0 0 23 0 3
0 0 0 0 0 0 0 0 0 0 23
165 0 0 111 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
