PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM3-20 PROBLEM3-40 PROBLEM2-20 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 START END 
0 109 0 0 0 0 0 0 0 0 0 0 229
0 0 11 77 0 0 0 0 0 0 0 0 21
0 0 0 0 15 0 0 0 0 0 0 0 28
0 0 27 0 6 0 0 0 0 0 0 0 44
0 0 0 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 6 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 41 0 0 0 53
0 0 0 0 0 0 0 0 0 29 0 0 11
0 0 0 0 0 0 0 0 0 0 21 0 8
0 0 0 0 0 0 0 0 0 0 0 0 21
338 0 0 0 0 14 0 94 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0
