PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-100 PROBLEM1-80 PROBLEM2-20 PROBLEM2-40 PROBLEM2-60 PROBLEM2-80 START END 
0 63 0 0 0 0 0 0 0 0 1
0 0 61 0 0 0 0 0 0 0 3
0 0 0 45 0 0 0 0 0 0 4
0 0 0 0 26 0 0 0 0 0 56
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 20 0 0 0 0
0 0 0 0 0 0 0 21 0 0 0
0 0 0 0 0 0 0 0 21 0 0
0 0 0 0 0 0 0 0 0 0 20
64 0 0 0 0 21 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
