PROBLEM1-20 PROBLEM1-100 PROBLEM1-40 PROBLEM2-20 PROBLEM2-100 PROBLEM2-40 PROBLEM3-20 PROBLEM3-100 PROBLEM5-20 PROBLEM5-100 PROBLEM6-20 PROBLEM6-40 PROBLEM6-100 PROBLEM7-20 PROBLEM8-20 PROBLEM8-40 PROBLEM7-40 PROBLEM7-100 PROBLEM8-100 START END 
0 27 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15
0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15
0 0 0 0 6 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 13 9 0 0 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13
0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 4 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 3 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
51 0 0 24 0 0 3 0 4 0 26 0 0 43 22 1 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
